document_id,authority,original_filename,original_stem,original_extension,original_relative_path
KSA_056,KSA,KSA__https___kansspelautoriteit.nl_sites_default_files_besluit_op_bezwaar_cafe_-_bar_bagci.md,KSA__https___kansspelautoriteit.nl_sites_default_files_besluit_op_bezwaar_cafe_-_bar_bagci,.md,full_text\KSA__https___kansspelautoriteit.nl_sites_default_files_besluit_op_bezwaar_cafe_-_bar_bagci.md
KSA_057,KSA,KSA__https___kansspelautoriteit.nl_sites_default_files_besluit_op_bezwaar_eetcafe_de_gouw.md,KSA__https___kansspelautoriteit.nl_sites_default_files_besluit_op_bezwaar_eetcafe_de_gouw,.md,full_text\KSA__https___kansspelautoriteit.nl_sites_default_files_besluit_op_bezwaar_eetcafe_de_gouw.md
KSA_058,KSA,KSA__https___kansspelautoriteit.nl_sites_default_files_besluit_op_bezwaar_holland_gaming.md,KSA__https___kansspelautoriteit.nl_sites_default_files_besluit_op_bezwaar_holland_gaming,.md,full_text\KSA__https___kansspelautoriteit.nl_sites_default_files_besluit_op_bezwaar_holland_gaming.md
KSA_059,KSA,KSA__https___kansspelautoriteit.nl_sites_default_files_besluit_op_bezwaar_imperial_e-club_limited.md,KSA__https___kansspelautoriteit.nl_sites_default_files_besluit_op_bezwaar_imperial_e-club_limited,.md,full_text\KSA__https___kansspelautoriteit.nl_sites_default_files_besluit_op_bezwaar_imperial_e-club_limited.md
KSA_060,KSA,KSA__https___kansspelautoriteit.nl_sites_default_files_besluit_op_bezwaar_kayseri.md,KSA__https___kansspelautoriteit.nl_sites_default_files_besluit_op_bezwaar_kayseri,.md,full_text\KSA__https___kansspelautoriteit.nl_sites_default_files_besluit_op_bezwaar_kayseri.md
KSA_061,KSA,KSA__https___kansspelautoriteit.nl_sites_default_files_besluit_op_bezwaar_openbaar_cafe_lucky.md,KSA__https___kansspelautoriteit.nl_sites_default_files_besluit_op_bezwaar_openbaar_cafe_lucky,.md,full_text\KSA__https___kansspelautoriteit.nl_sites_default_files_besluit_op_bezwaar_openbaar_cafe_lucky.md
KSA_062,KSA,KSA__https___kansspelautoriteit.nl_sites_default_files_besluit_op_bezwaar_openbaar_call_internet_city.md,KSA__https___kansspelautoriteit.nl_sites_default_files_besluit_op_bezwaar_openbaar_call_internet_city,.md,full_text\KSA__https___kansspelautoriteit.nl_sites_default_files_besluit_op_bezwaar_openbaar_call_internet_city.md
KSA_063,KSA,KSA__https___kansspelautoriteit.nl_sites_default_files_besluit_op_bezwaar_redslots.md,KSA__https___kansspelautoriteit.nl_sites_default_files_besluit_op_bezwaar_redslots,.md,full_text\KSA__https___kansspelautoriteit.nl_sites_default_files_besluit_op_bezwaar_redslots.md
KSA_064,KSA,KSA__https___kansspelautoriteit.nl_sites_default_files_besluit_op_bezwaar_total_e_soft.md,KSA__https___kansspelautoriteit.nl_sites_default_files_besluit_op_bezwaar_total_e_soft,.md,full_text\KSA__https___kansspelautoriteit.nl_sites_default_files_besluit_op_bezwaar_total_e_soft.md
KSA_065,KSA,KSA__https___kansspelautoriteit.nl_sites_default_files_besluit_tipico_openbaar.md,KSA__https___kansspelautoriteit.nl_sites_default_files_besluit_tipico_openbaar,.md,full_text\KSA__https___kansspelautoriteit.nl_sites_default_files_besluit_tipico_openbaar.md
